photo_url,alderman,ward,gen_att,cc_att,comm_att,attendance_arrays
,Ariel Reboyras,30,92.70%,97.70%,91.60%,[1; 1; 1; 0.928571429; 0.952380952; 0.666666667; 0.863636364; 0.925925926; 0.954545455; 1; 1; 0.923076923; 0.952380952; 0.857142857; 1; 0.952380952; 0.916666667; 0.947368421; 1; 0.947368421; 0.904761905; 0.952380952; 0.882352941; 0.961538462]
,Milly Santiago,31,67.10%,86.40%,60.30%,[; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0.8; 0.666666667; 0.5625; 0.733333333; 0.642857143; 0.538461538; 0.789473684]
,Scott Waguespack,32,79.00%,100.00%,72.50%,[1; 1; 0.947368421; 0.727272727; 0.904761905; 0.565217391; 0.5; 0.714285714; 0.6; 0.736842105; 0.777777778; 0.833333333; 0.882352941; 0.583333333; 0.666666667; 0.947368421; 0.888888889; 0.736842105; 0.333333333; 0.764705882; 0.875; 0.857142857; 1; 0.909090909]
,Deborah Mell,33,85.40%,100.00%,79.90%,[; ; ; ; ; ; ; ; ; ; 0.8; 0.666666667; 0.857142857; 0.928571429; 1; 1; 0.9; 0.833333333; 1; 0.6875; 0.736842105; 0.933333333; 0.923076923; 0.888888889]
,Carrie Austin,34,56.00%,90.80%,48.00%,[1; 1; 0.875; 0.76; 0.476190476; 0.357142857; 0.35; 0.555555556; 0.526315789; 0.518518519; 0.846153846; 0.538461538; 0.476190476; 0.588235294; 0.692307692; 0.666666667; 0.642857143; 0.5; 0; 0.526315789; 0.476190476; 0.45; 0.294117647; 0.461538462]
,Carlos Ramirez-Rosa,35,78.90%,100.00%,65.70%,[; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; 0; 0.75; 0.625; 1; 0.625; 1]
,Gilbert Villegas,36,77.80%,100.00%,65.90%,[; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; 1; 0.846153846; 0.7; 0.666666667; 0.777777778; 0.769230769]
,Emma Mitts,37,70.20%,96.60%,64.10%,[1; 1; 0.958333333; 0.620689655; 0.65; 0.53125; 0.571428571; 0.535714286; 0.823529412; 0.714285714; 0.571428571; 0.592592593; 0.777777778; 0.611111111; 0.692307692; 0.857142857; 0.5; 0.6; 1; 0.857142857; 0.6; 0.6; 0.9375; 0.88]
,Nicholas Sposato,38,87.60%,98.90%,83.10%,[; 1; 1; 0.736842105; 0.866666667; 0.904761905; 0.928571429; 0.941176471; 1; 1; 0.8; 0.714285714; 0.944444444; 1; 0.875; 0.6; 0.7; 0.8; 1; 0.923076923; 0.6; 0.916666667; 0.9; 1]
,Margaret Laurino,39,73.30%,98.90%,65.20%,[1; 1; 0.944444444; 0.75; 0.823529412; 0.666666667; 0.625; 0.5; 0.769230769; 0.772727273; 1; 0.684210526; 0.571428571; 0.818181818; 0.7; 0.6875; 0.5; 0.733333333; 0; 0.733333333; 0.75; 0.769230769; 0.692307692; 0.857142857]
,Patrick O'Connor,40,60.30%,95.40%,46.30%,[1; 1; 0.916666667; 0.4; 0.416666667; 0.619047619; 0.416666667; 0.5; 0.6; 0.5; 0.333333333; 0.333333333; 0.777777778; 0.5; 0.777777778; 0.666666667; 0.428571429; 0.571428571; 0.333333333; 0.611111111; 0.785714286; 0.642857143; 0.5; 0.894736842]
,Anthony Napolitano,41,85.90%,100.00%,78.60%,[; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; 0; 0.9; 0.818181818; 0.833333333; 0.888888889; 0.882352941]
,Brendan Reilly,42,67.60%,96.60%,59.60%,[1; 1; 0.947368421; 0.913043478; 0.666666667; 0.416666667; 0.647058824; 0.56; 0.75; 0.692307692; 0.545454545; 0.636363636; 0.666666667; 0.785714286; 0.75; 0.736842105; 0.583333333; 0.666666667; 0.5; 0.611111111; 0.578947368; 0.6875; 0.5; 0.666666667]
,Michele Smith,43,85.00%,100.00%,79.30%,[; 1; 1; 0.933333333; 1; 0.875; 0.75; 0.764705882; 0.909090909; 0.866666667; 0.888888889; 0.866666667; 0.777777778; 0.923076923; 0.888888889; 0.933333333; 1; 0.882352941; 0.75; 0.736842105; 0.9375; 0.6; 0.6875; 0.80952381]
,Thomas Tunney,44,83.50%,100.00%,79.90%,[1; 1; 0.958333333; 0.851851852; 0.857142857; 0.730769231; 0.789473684; 0.62962963; 0.882352941; 0.827586207; 0.875; 0.814814815; 0.75; 0.947368421; 0.8; 0.9; 0.785714286; 0.909090909; 0.833333333; 0.833333333; 0.913043478; 0.8; 0.7; 0.846153846]
,John Arena,45,85.20%,100.00%,78.90%,[; 1; 1; 1; 1; 0.9375; 0.727272727; 0.933333333; 1; 0.933333333; 0.8; 0.857142857; 0.916666667; 0.916666667; 1; 0.692307692; 0.7; 0.866666667; 0.333333333; 0.684210526; 0.933333333; 0.571428571; 0.846153846; 0.722222222]
,James Cappleman,46,75.00%,97.70%,68.60%,[; 1; 1; 0.777777778; 0.761904762; 0.703703704; 0.333333333; 0.409090909; 0.764705882; 0.782608696; 0.846153846; 0.571428571; 0.705882353; 0.823529412; 1; 0.611111111; 0.846153846; 0.888888889; 1; 0.8125; 0.789473684; 0.764705882; 0.8; 0.9]
,Ameya Pawar,47,67.10%,95.40%,57.20%,[; 1; 0.933333333; 0.555555556; 0.4375; 0.5; 0.5; 0.8125; 0.928571429; 0.928571429; 0.909090909; 0.8; 0.866666667; 0.785714286; 0.666666667; 0.571428571; 0.692307692; 0.611111111; 0.5; 0.523809524; 0.523809524; 0.578947368; 0.466666667; 0.727272727]
,Harry Osterman,48,71.10%,100.00%,54.60%,[; 1; 0.888888889; 0.833333333; 0.818181818; 0.625; 0.363636364; 0.5625; 0.666666667; 0.666666667; 1; 0.714285714; 0.666666667; 0.6; 0.571428571; 0.714285714; 0.571428571; 0.583333333; 1; 0.923076923; 0.75; 0.8; 0.777777778; 0.8125]
,Joseph Moore,49,62.00%,89.70%,50.70%,[1; 1; 0.923076923; 0.5; 0.533333333; 0.533333333; 0.6; 0.444444444; 0.5; 0.352941176; 0.625; 0.470588235; 0.9; 0.666666667; 0.4; 0.642857143; 0.625; 0.6; 0.333333333; 0.823529412; 0.666666667; 0.666666667; 0.533333333; 0.714285714]
,Debra Silverstein,50,80.30%,94.30%,75.10%,[; 0.8; 1; 0.95; 0.857142857; 0.85; 0.714285714; 0.631578947; 0.833333333; 0.846153846; 0.75; 0.75; 0.705882353; 0.833333333; 0.625; 0.857142857; 0.75; 0.866666667; 1; 0.944444444; 0.777777778; 0.6875; 0.714285714; 0.76]
