"Committee on Special Events, Cultural Affairs and Recreation",10/1/12 0:00,"Arena, John",1,4,0
"Committee on Special Events, Cultural Affairs and Recreation",1/10/13 0:00,"Arena, John",1,5,0
"Committee on Special Events, Cultural Affairs and Recreation",3/6/13 0:00,"Arena, John",1,5,0
"Committee on Special Events, Cultural Affairs and Recreation",5/4/15 0:00,"Arena, John",1,9,0
Committee on Transportation and Public Way,2/7/11 0:00,"Beale, Anthony",1,1,0
Committee on Transportation and Public Way,3/4/11 0:00,"Beale, Anthony",1,1,0
Committee on Transportation and Public Way,4/11/11 0:00,"Beale, Anthony",1,1,0
Committee on Transportation and Public Way,5/2/11 0:00,"Beale, Anthony",1,1,0
Committee on Transportation and Public Way,6/30/11 0:00,"Beale, Anthony",1,1,0
Committee on Transportation and Public Way,7/25/11 0:00,"Beale, Anthony",1,2,0
Committee on Transportation and Public Way,9/6/11 0:00,"Beale, Anthony",1,2,0
Committee on Transportation and Public Way,10/3/11 0:00,"Beale, Anthony",1,2,0
Committee on Transportation and Public Way,2/5/13 0:00,"Beale, Anthony",1,5,0
Committee on Transportation and Public Way,3/6/13 0:00,"Beale, Anthony",1,5,0
Committee on Transportation and Public Way,1/28/16 0:00,"Beale, Anthony",1,11,0
Committee on Transportation and Public Way,9/29/16 0:00,"Beale, Anthony",1,12,0
Committee on Transportation and Public Way,1/18/17 0:00,"Beale, Anthony",1,12,0
Committee on Workforce Development and Audit,9/7/11 0:00,"Austin, Carrie M.",1,2,0
Committee on Workforce Development and Audit,9/28/11 0:00,"Austin, Carrie M.",1,2,0
Committee on Workforce Development and Audit,10/1/12 0:00,"Austin, Carrie M.",1,4,0
"Committee on Zoning, Landmarks and Building Standards",7/26/11 0:00,"Austin, Carrie M.",1,2,0
"Committee on Zoning, Landmarks and Building Standards",9/1/11 0:00,"Austin, Carrie M.",1,2,0
"Committee on Zoning, Landmarks and Building Standards",9/29/11 0:00,"Austin, Carrie M.",1,2,0
"Committee on Zoning, Landmarks and Building Standards",2/27/14 0:00,"Austin, Carrie M.",1,7,0
"Committee on Zoning, Landmarks and Building Standards",5/22/14 0:00,"Austin, Carrie M.",1,7,0
"Committee on Zoning, Landmarks and Building Standards",7/29/14 0:00,"Austin, Carrie M.",1,8,0
"Committee on Zoning, Landmarks and Building Standards",1/20/15 0:00,"Austin, Carrie M.",1,9,0
"Committee on Zoning, Landmarks and Building Standards",4/23/15 0:00,"Austin, Carrie M.",1,9,0
"Committee on Zoning, Landmarks and Building Standards",1/23/17 0:00,"Austin, Carrie M.",1,12,0
City Council,7/28/11 0:00,"Thompson, JoAnn",0,2,1
City Council,10/5/11 0:00,"Solis, Daniel",0,2,1
City Council,10/12/11 0:00,"Thomas, Latasha R.",0,2,1
City Council,11/2/11 0:00,"Mitts, Emma",0,2,1
City Council,12/14/11 0:00,"Graham, Deborah L.",0,2,1
City Council,1/18/12 0:00,"O'Connor, Mary",0,3,1
City Council,1/19/12 0:00,"Foulkes, Toni",0,3,1
City Council,2/15/12 0:00,"Jackson, Sandi",0,3,1
City Council,10/10/12 0:00,"Cappleman, James",0,4,1
City Council,11/15/12 0:00,"Jackson, Sandi",0,4,1
City Council,3/13/13 0:00,"Reboyras, Ariel",0,5,1
City Council,5/8/13 0:00,"Moreno, Proco Joe",0,5,1
City Council,7/24/13 0:00,"O'Connor, Patrick",0,6,1
City Council,10/16/13 0:00,"Pope, John",0,6,1
City Council,11/20/13 0:00,"Moreno, Proco Joe",0,6,1
City Council,1/15/14 0:00,"Suarez, Regner Ray",0,7,1
City Council,2/5/14 0:00,"O'Connor, Patrick",0,7,1
City Council,4/2/14 0:00,"Quinn, Marty",0,7,1
City Council,7/30/14 0:00,"Holmes, Natashia",0,8,1
City Council,11/12/14 0:00,"Cullerton, Timothy M.",0,8,1
City Council,12/2/14 0:00,"Thompson, JoAnn",0,8,1
City Council,12/10/14 0:00,"Cullerton, Timothy M.",0,8,1
City Council,1/21/15 0:00,"Thompson, JoAnn",0,9,1
City Council,3/18/15 0:00,"Sawyer, Roderick T.",0,9,1
City Council,3/16/16 0:00,"Reilly, Brendan",0,11,1
City Council,5/18/16 0:00,"Silverstein, Debra L.",0,11,1
City Council,10/5/16 0:00,"Cochran, Willie",0,12,1
City Council,1/25/17 0:00,"Austin, Carrie M.",0,12,1
Committee on Finance,2/3/14 0:00,"Hairston, Leslie A.",0,7,1
Committee on Health and Environmental Protection,5/28/14 0:00,"Maldonado, Roberto",0,7,1
Committee on License and Consumer Protection,4/23/14 0:00,"Cardenas, George A.",0,7,1
Committee on Transportation and Public Way,6/6/11 0:00,"Quinn, Marty",0,1,1
Committee on Transportation and Public Way,12/10/13 0:00,"Pope, John",0,6,1
Committee on Transportation and Public Way,7/23/14 0:00,"Fioretti, Bob",0,8,1
Committee on Workforce Development and Audit,6/7/11 0:00,"Solis, Daniel",0,1,1
Committee on Workforce Development and Audit,12/1/14 0:00,"Silverstein, Debra L.",0,8,1
City Council,6/8/11 0:00,"Silverstein, Debra L.",0,1,2
City Council,3/14/12 0:00,"Moore, Joseph",0,3,2
City Council,4/24/12 0:00,"Maldonado, Roberto",0,3,2
City Council,5/9/12 0:00,"Mell, Richard F.",0,3,2
City Council,6/27/12 0:00,"Suarez, Regner Ray",0,3,2
City Council,10/3/12 0:00,"Cochran, Willie",0,4,2
City Council,6/26/13 0:00,"Suarez, Regner Ray",0,5,2
City Council,10/23/13 0:00,"Silverstein, Debra L.",0,6,2
City Council,4/30/14 0:00,"Thomas, Latasha R.",0,7,2
City Council,6/25/14 0:00,"Thomas, Latasha R.",0,7,2
City Council,4/15/15 0:00,"Lane, Lona",0,9,2
City Council,11/18/15 0:00,"Maldonado, Roberto",0,10,2
City Council,2/10/16 0:00,"Maldonado, Roberto",0,11,2
City Council,7/20/16 0:00,"Santiago, Milagros S.",0,12,2
City Council,10/11/16 0:00,"Zalewski, Michael R.",0,12,2
City Council,11/16/16 0:00,"Brookins, Jr., Howard",0,12,2
Committee on Housing and Real Estate,5/17/16 0:00,"Pawar, Ameya",0,11,2
Committee on License and Consumer Protection,3/7/13 0:00,"Sawyer, Roderick T.",0,5,2
Committee on License and Consumer Protection,6/16/15 0:00,"Maldonado, Roberto",0,9,2
Committee on License and Consumer Protection,9/8/16 0:00,"Mitchell, Gregory I.",0,12,2
Committee on Pedestrian and Traffic Safety,4/11/12 0:00,"Mitts, Emma",0,3,2
Committee on Public Safety,6/21/12 0:00,"Pawar, Ameya",0,3,2
Committee on Transportation and Public Way,5/29/13 0:00,"Maldonado, Roberto",0,5,2
Committee on Transportation and Public Way,2/26/14 0:00,"Suarez, Regner Ray",0,7,2
Committee on Transportation and Public Way,11/17/15 0:00,"Dowell, Pat",0,10,2
Committee on Transportation and Public Way,9/8/16 0:00,"Sadlowski Garza, Susan",0,12,2
"Committee on Zoning, Landmarks and Building Standards",7/23/13 0:00,"Mell, Richard F.",0,6,2
City Council,7/6/11 0:00,"Thomas, Latasha R.",0,2,3
City Council,4/18/12 0:00,"Reboyras, Ariel",0,3,3
City Council,7/25/12 0:00,"Jackson, Sandi",0,4,3
City Council,11/8/12 0:00,"Moreno, Proco Joe",0,4,3
City Council,4/10/13 0:00,"Thompson, JoAnn",0,5,3
City Council,11/13/13 0:00,"Moore, Joseph",0,6,3
City Council,5/28/14 0:00,"Silverstein, Debra L.",0,7,3
City Council,10/21/15 0:00,"Taliaferro, Chris",0,10,3
City Council,11/9/16 0:00,"Pawar, Ameya",0,12,3
Committee on Finance,3/4/14 0:00,"Lane, Lona",0,7,3
Committee on Finance,5/16/16 0:00,"Munoz, Ricardo",0,11,3
Committee on Housing and Real Estate,5/1/13 0:00,"Thompson, JoAnn",0,5,3
Committee on Housing and Real Estate,3/11/15 0:00,"Sposato, Nicholas",0,9,3
Committee on License and Consumer Protection,4/3/13 0:00,"Sawyer, Roderick T.",0,5,3
Committee on License and Consumer Protection,5/2/13 0:00,"Moreno, Proco Joe",0,5,3
Committee on License and Consumer Protection,1/29/14 0:00,"Sawyer, Roderick T.",0,7,3
Committee on License and Consumer Protection,4/24/14 0:00,"Tunney, Thomas",0,7,3
Committee on License and Consumer Protection,2/9/16 0:00,"Maldonado, Roberto",0,11,3
