alderman,quarters,Meetings_Attended,Total_Meetings,Attendance %
"Burns, William D.",5,11,15,0.7333333333333333333333333333
"Burns, William D.",6,16,24,0.6666666666666666666666666667
"Burns, William D.",7,10,16,0.625
"Burns, William D.",8,12,21,0.5714285714285714285714285714
"Burns, William D.",9,7,12,0.5833333333333333333333333333
"Cappleman, James",10,18,23,0.7826086956521739130434782609
"Cappleman, James",11,11,13,0.8461538461538461538461538462
"Cappleman, James",12,12,21,0.5714285714285714285714285714
"Cappleman, James",13,12,17,0.7058823529411764705882352941
"Cappleman, James",14,14,17,0.8235294117647058823529411765
"Cappleman, James",15,11,11,1
"Cappleman, James",16,11,18,0.6111111111111111111111111111
"Cappleman, James",17,11,13,0.8461538461538461538461538462
"Cappleman, James",18,16,18,0.8888888888888888888888888889
"Cappleman, James",19,2,2,1
"Cappleman, James",2,6,6,1
"Cappleman, James",20,13,16,0.8125
"Cappleman, James",21,15,19,0.7894736842105263157894736842
"Cappleman, James",22,13,17,0.7647058823529411764705882353
"Cappleman, James",23,12,15,0.8
"Cappleman, James",24,18,20,0.9
"Cappleman, James",3,18,18,1
"Cappleman, James",4,21,27,0.7777777777777777777777777778
"Cappleman, James",5,16,21,0.7619047619047619047619047619
"Cappleman, James",6,19,27,0.7037037037037037037037037037
"Cappleman, James",7,6,18,0.3333333333333333333333333333
"Cappleman, James",8,9,22,0.4090909090909090909090909091
"Cappleman, James",9,13,17,0.7647058823529411764705882353
"Cardenas, George A.",1,10,10,1
"Cardenas, George A.",10,11,23,0.4782608695652173913043478261
"Cardenas, George A.",11,6,12,0.5
"Cardenas, George A.",12,8,23,0.3478260869565217391304347826
"Cardenas, George A.",13,7,15,0.4666666666666666666666666667
"Cardenas, George A.",14,7,16,0.4375
"Cardenas, George A.",15,2,11,0.1818181818181818181818181818
"Cardenas, George A.",16,9,19,0.4736842105263157894736842105
"Cardenas, George A.",17,4,11,0.3636363636363636363636363636
"Cardenas, George A.",18,10,20,0.5
"Cardenas, George A.",19,1,3,0.3333333333333333333333333333
"Cardenas, George A.",2,18,18,1
"Cardenas, George A.",20,12,20,0.6
"Cardenas, George A.",21,9,19,0.4736842105263157894736842105
"Cardenas, George A.",22,10,18,0.5555555555555555555555555556
"Cardenas, George A.",23,12,18,0.6666666666666666666666666667
"Cardenas, George A.",24,16,21,0.7619047619047619047619047619
"Cardenas, George A.",3,19,20,0.95
"Cardenas, George A.",4,9,23,0.3913043478260869565217391304
"Cardenas, George A.",5,6,19,0.3157894736842105263157894737
"Cardenas, George A.",6,8,25,0.32
"Cardenas, George A.",7,4,16,0.25
"Cardenas, George A.",8,8,23,0.3478260869565217391304347826
"Cardenas, George A.",9,8,15,0.5333333333333333333333333333
"Chandler, Michael D.",10,11,20,0.55
"Chandler, Michael D.",11,7,12,0.5833333333333333333333333333
"Chandler, Michael D.",12,8,20,0.4
"Chandler, Michael D.",13,7,17,0.4117647058823529411764705882
"Chandler, Michael D.",14,7,16,0.4375
"Chandler, Michael D.",15,2,10,0.2
"Chandler, Michael D.",16,8,16,0.5
"Chandler, Michael D.",17,3,9,0.3333333333333333333333333333
"Chandler, Michael D.",18,3,10,0.3
"Chandler, Michael D.",2,5,5,1
"Chandler, Michael D.",3,11,13,0.8461538461538461538461538462
"Chandler, Michael D.",4,6,21,0.2857142857142857142857142857
"Chandler, Michael D.",5,4,19,0.2105263157894736842105263158
"Chandler, Michael D.",6,7,20,0.35
"Chandler, Michael D.",7,2,15,0.1333333333333333333333333333
"Chandler, Michael D.",8,13,20,0.65
"Chandler, Michael D.",9,12,15,0.8
"Cochran, Willie",1,7,7,1
"Cochran, Willie",10,14,26,0.5384615384615384615384615385
"Cochran, Willie",11,11,14,0.7857142857142857142857142857
"Cochran, Willie",12,15,26,0.5769230769230769230769230769
"Cochran, Willie",13,10,15,0.6666666666666666666666666667
"Cochran, Willie",14,12,17,0.7058823529411764705882352941
"Cochran, Willie",15,7,11,0.6363636363636363636363636364
"Cochran, Willie",16,11,18,0.6111111111111111111111111111
"Cochran, Willie",17,7,12,0.5833333333333333333333333333
"Cochran, Willie",18,14,17,0.8235294117647058823529411765
"Cochran, Willie",19,2,2,1
"Cochran, Willie",2,12,12,1
"Cochran, Willie",20,16,20,0.8
"Cochran, Willie",21,16,19,0.8421052631578947368421052632
"Cochran, Willie",22,14,19,0.7368421052631578947368421053
"Cochran, Willie",23,10,15,0.6666666666666666666666666667
"Cochran, Willie",24,19,23,0.8260869565217391304347826087
"Cochran, Willie",3,20,21,0.9523809523809523809523809524
"Cochran, Willie",4,16,25,0.64
"Cochran, Willie",5,13,18,0.7222222222222222222222222222
"Cochran, Willie",6,21,26,0.8076923076923076923076923077
"Cochran, Willie",7,10,18,0.5555555555555555555555555556
"Cochran, Willie",8,10,24,0.4166666666666666666666666667
"Cochran, Willie",9,12,17,0.7058823529411764705882352941
"Colon, Rey",1,4,4,1
"Colon, Rey",10,15,22,0.6818181818181818181818181818
"Colon, Rey",11,8,12,0.6666666666666666666666666667
"Colon, Rey",12,13,24,0.5416666666666666666666666667
"Colon, Rey",13,12,19,0.6315789473684210526315789474
"Colon, Rey",14,16,19,0.8421052631578947368421052632
"Colon, Rey",15,9,15,0.6
"Colon, Rey",16,12,22,0.5454545454545454545454545455
"Colon, Rey",17,6,12,0.5
"Colon, Rey",18,6,16,0.375
"Colon, Rey",2,11,11,1
"Colon, Rey",3,18,21,0.8571428571428571428571428571
"Colon, Rey",4,12,23,0.5217391304347826086956521739
"Colon, Rey",5,10,23,0.4347826086956521739130434783
"Colon, Rey",6,13,26,0.5
"Colon, Rey",7,10,18,0.5555555555555555555555555556
"Colon, Rey",8,12,23,0.5217391304347826086956521739
"Colon, Rey",9,3,12,0.25
"Cullerton, Timothy M.",1,5,5,1
"Cullerton, Timothy M.",10,25,27,0.9259259259259259259259259259
"Cullerton, Timothy M.",11,13,14,0.9285714285714285714285714286
"Cullerton, Timothy M.",12,23,24,0.9583333333333333333333333333
"Cullerton, Timothy M.",13,15,17,0.8823529411764705882352941176
"Cullerton, Timothy M.",14,16,17,0.9411764705882352941176470588
"Cullerton, Timothy M.",15,10,13,0.7692307692307692307692307692
"Cullerton, Timothy M.",16,12,20,0.6
"Cullerton, Timothy M.",17,10,14,0.7142857142857142857142857143
"Cullerton, Timothy M.",18,11,12,0.9166666666666666666666666667
"Cullerton, Timothy M.",2,11,11,1
"Cullerton, Timothy M.",3,20,20,1
"Cullerton, Timothy M.",4,22,25,0.88
"Cullerton, Timothy M.",5,18,20,0.9
"Cullerton, Timothy M.",6,24,28,0.8571428571428571428571428571
"Cullerton, Timothy M.",7,17,19,0.8947368421052631578947368421
"Cullerton, Timothy M.",8,22,22,1
"Cullerton, Timothy M.",9,18,19,0.9473684210526315789473684211
"Curtis, Derrick G.",18,4,4,1
"Curtis, Derrick G.",19,0,2,0
"Curtis, Derrick G.",20,7,11,0.6363636363636363636363636364
