alderman,thirds,Meetings_Attended,Total_Meetings,Attendance %
"Reboyras, Ariel",18,32,35,0.914285714
"Reilly, Brendan",1,4,4,1
"Reilly, Brendan",2,18,19,0.947368421
"Reilly, Brendan",3,30,32,0.9375
"Reilly, Brendan",4,17,26,0.653846154
"Reilly, Brendan",5,11,24,0.458333333
"Reilly, Brendan",6,19,34,0.558823529
"Reilly, Brendan",7,16,22,0.727272727
"Reilly, Brendan",8,18,27,0.666666667
"Reilly, Brendan",9,16,26,0.615384615
"Reilly, Brendan",10,17,24,0.708333333
"Reilly, Brendan",11,13,16,0.8125
"Reilly, Brendan",12,16,23,0.695652174
"Reilly, Brendan",13,12,19,0.631578947
"Reilly, Brendan",14,7,11,0.636363636
"Reilly, Brendan",15,13,22,0.590909091
"Reilly, Brendan",16,15,24,0.625
"Reilly, Brendan",17,11,19,0.578947368
"Reilly, Brendan",18,20,32,0.625
"Rice, John",1,12,12,1
"Rice, John",2,2,2,1
"Rugai, Virginia",1,11,11,1
"Rugai, Virginia",2,3,3,1
"Sadlowski Garza, Susan",14,2,6,0.333333333
"Sadlowski Garza, Susan",15,9,16,0.5625
"Sadlowski Garza, Susan",16,9,15,0.6
"Sadlowski Garza, Susan",17,9,15,0.6
"Sadlowski Garza, Susan",18,16,23,0.695652174
"Santiago, Milagros S.",14,4,6,0.666666667
"Santiago, Milagros S.",15,11,18,0.611111111
"Santiago, Milagros S.",16,14,18,0.777777778
"Santiago, Milagros S.",17,7,16,0.4375
"Santiago, Milagros S.",18,21,27,0.777777778
"Sawyer, Roderick T.",2,12,12,1
"Sawyer, Roderick T.",3,21,24,0.875
"Sawyer, Roderick T.",4,19,24,0.791666667
"Sawyer, Roderick T.",5,13,19,0.684210526
"Sawyer, Roderick T.",6,12,21,0.571428571
"Sawyer, Roderick T.",7,9,13,0.692307692
"Sawyer, Roderick T.",8,8,12,0.666666667
"Sawyer, Roderick T.",9,11,15,0.733333333
"Sawyer, Roderick T.",10,11,20,0.55
"Sawyer, Roderick T.",11,5,12,0.416666667
"Sawyer, Roderick T.",12,12,18,0.666666667
"Sawyer, Roderick T.",13,6,12,0.5
"Sawyer, Roderick T.",14,8,11,0.727272727
"Sawyer, Roderick T.",15,13,20,0.65
"Sawyer, Roderick T.",16,16,20,0.8
"Sawyer, Roderick T.",17,10,17,0.588235294
"Sawyer, Roderick T.",18,25,30,0.833333333
"Schulter, Eugene",1,13,13,1
"Schulter, Eugene",2,2,2,1
"Scott, Jr. Michael",14,7,8,0.875
"Scott, Jr. Michael",15,17,21,0.80952381
"Scott, Jr. Michael",16,21,21,1
"Scott, Jr. Michael",17,17,18,0.944444444
"Scott, Jr. Michael",18,27,27,1
"Shiller, Helen",1,14,14,1
"Shiller, Helen",2,1,1,1
"Silverstein, Debra L.",2,12,13,0.923076923
"Silverstein, Debra L.",3,26,27,0.962962963
"Silverstein, Debra L.",4,18,22,0.818181818
"Silverstein, Debra L.",5,16,19,0.842105263
"Silverstein, Debra L.",6,17,26,0.653846154
"Silverstein, Debra L.",7,13,15,0.866666667
"Silverstein, Debra L.",8,12,14,0.857142857
"Silverstein, Debra L.",9,11,16,0.6875
"Silverstein, Debra L.",10,16,22,0.727272727
"Silverstein, Debra L.",11,10,11,0.909090909
"Silverstein, Debra L.",12,13,18,0.722222222
"Silverstein, Debra L.",13,10,14,0.714285714
"Silverstein, Debra L.",14,9,9,1
"Silverstein, Debra L.",15,20,21,0.952380952
"Silverstein, Debra L.",16,18,22,0.818181818
"Silverstein, Debra L.",17,12,19,0.631578947
"Silverstein, Debra L.",18,24,32,0.75
"Smith, Mary Ann",1,10,10,1
"Smith, Mary Ann",2,1,1,1
"Smith, Michele",2,11,11,1
"Smith, Michele",3,20,21,0.952380952
"Smith, Michele",4,22,22,1
"Smith, Michele",5,12,15,0.8
"Smith, Michele",6,18,24,0.75
"Smith, Michele",7,12,14,0.857142857
"Smith, Michele",8,14,16,0.875
"Smith, Michele",9,18,20,0.9
"Smith, Michele",10,18,22,0.818181818
"Smith, Michele",11,12,14,0.857142857
"Smith, Michele",12,18,19,0.947368421
"Smith, Michele",13,13,14,0.928571429
"Smith, Michele",14,11,12,0.916666667
"Smith, Michele",15,16,22,0.727272727
"Smith, Michele",16,17,19,0.894736842
"Smith, Michele",17,11,19,0.578947368
"Smith, Michele",18,24,30,0.8
"Solis, Daniel",1,7,7,1
"Solis, Daniel",2,20,22,0.909090909
"Solis, Daniel",3,22,34,0.647058824
"Solis, Daniel",4,15,32,0.46875
"Solis, Daniel",5,14,29,0.482758621
"Solis, Daniel",6,17,39,0.435897436
"Solis, Daniel",7,11,24,0.458333333
"Solis, Daniel",8,11,27,0.407407407
"Solis, Daniel",9,14,30,0.466666667
"Solis, Daniel",10,14,28,0.5
"Solis, Daniel",11,6,19,0.315789474
"Solis, Daniel",12,18,25,0.72
"Solis, Daniel",13,10,20,0.5
"Solis, Daniel",14,7,12,0.583333333
"Solis, Daniel",15,16,23,0.695652174
"Solis, Daniel",16,19,25,0.76
"Solis, Daniel",17,16,23,0.695652174
"Solis, Daniel",18,26,33,0.787878788
"Sposato, Nicholas",2,15,15,1
"Sposato, Nicholas",3,19,24,0.791666667
"Sposato, Nicholas",4,19,21,0.904761905
"Sposato, Nicholas",5,21,23,0.913043478
"Sposato, Nicholas",6,21,23,0.913043478
"Sposato, Nicholas",7,18,18,1
"Sposato, Nicholas",8,15,16,0.9375
"Sposato, Nicholas",9,14,19,0.736842105
"Sposato, Nicholas",10,23,24,0.958333333
"Sposato, Nicholas",11,11,12,0.916666667
"Sposato, Nicholas",12,13,19,0.684210526
"Sposato, Nicholas",13,13,17,0.764705882
"Sposato, Nicholas",14,6,8,0.75
"Sposato, Nicholas",15,14,15,0.933333333
"Sposato, Nicholas",16,8,12,0.666666667
"Sposato, Nicholas",17,14,15,0.933333333
"Sposato, Nicholas",18,24,25,0.96
"Stone, Bernard",1,10,10,1
"Stone, Bernard",2,1,1,1
"Suarez, Regner Ray",1,14,14,1
"Suarez, Regner Ray",2,29,29,1
"Suarez, Regner Ray",3,30,37,0.810810811
"Suarez, Regner Ray",4,25,31,0.806451613
"Suarez, Regner Ray",5,22,32,0.6875
"Suarez, Regner Ray",6,21,39,0.538461538
"Suarez, Regner Ray",7,18,27,0.666666667
"Suarez, Regner Ray",8,17,33,0.515151515
"Suarez, Regner Ray",9,26,32,0.8125
"Suarez, Regner Ray",10,17,29,0.586206897
"Suarez, Regner Ray",11,17,19,0.894736842
"Suarez, Regner Ray",12,25,30,0.833333333
"Suarez, Regner Ray",13,15,25,0.6
"Suarez, Regner Ray",14,2,5,0.4
"Taliaferro, Chris",14,3,4,0.75
"Taliaferro, Chris",15,10,13,0.769230769
"Taliaferro, Chris",16,14,17,0.823529412
"Taliaferro, Chris",17,10,16,0.625
"Taliaferro, Chris",18,25,26,0.961538462
"Thomas, Latasha R.",1,6,6,1
"Thomas, Latasha R.",2,21,22,0.954545455
"Thomas, Latasha R.",3,20,34,0.588235294
"Thomas, Latasha R.",4,16,32,0.5
"Thomas, Latasha R.",5,12,26,0.461538462
"Thomas, Latasha R.",6,12,34,0.352941176
"Thomas, Latasha R.",7,8,21,0.380952381
"Thomas, Latasha R.",8,11,24,0.458333333
"Thomas, Latasha R.",9,11,26,0.423076923
"Thomas, Latasha R.",10,13,27,0.481481481
"Thomas, Latasha R.",11,8,18,0.444444444
"Thomas, Latasha R.",12,15,23,0.652173913
"Thomas, Latasha R.",13,10,19,0.526315789
"Thomas, Latasha R.",14,3,6,0.5
"Thompson, JoAnn",1,4,4,1
"Thompson, JoAnn",2,17,18,0.944444444
"Thompson, JoAnn",3,17,26,0.653846154
"Thompson, JoAnn",4,15,23,0.652173913
"Thompson, JoAnn",5,9,24,0.375
"Thompson, JoAnn",6,11,28,0.392857143
"Thompson, JoAnn",7,9,19,0.473684211
"Thompson, JoAnn",8,15,24,0.625
"Thompson, JoAnn",9,17,28,0.607142857
"Thompson, JoAnn",10,18,25,0.72
"Thompson, JoAnn",11,8,16,0.5
"Thompson, JoAnn",12,15,25,0.6
"Thompson, JoAnn",13,0,6,0
"Thompson, Patrick D.",14,4,6,0.666666667
"Thompson, Patrick D.",15,13,19,0.684210526
"Thompson, Patrick D.",16,12,15,0.8
"Thompson, Patrick D.",17,10,15,0.666666667
"Thompson, Patrick D.",18,27,27,1
"Tunney, Thomas",1,12,12,1
"Tunney, Thomas",2,24,24,1
"Tunney, Thomas",3,34,39,0.871794872
"Tunney, Thomas",4,25,30,0.833333333
"Tunney, Thomas",5,20,27,0.740740741
"Tunney, Thomas",6,24,36,0.666666667
"Tunney, Thomas",7,19,23,0.826086957
"Tunney, Thomas",8,29,33,0.878787879
"Tunney, Thomas",9,27,33,0.818181818
"Tunney, Thomas",10,22,28,0.785714286
"Tunney, Thomas",11,19,20,0.95
"Tunney, Thomas",12,22,26,0.846153846
"Tunney, Thomas",13,18,22,0.818181818
"Tunney, Thomas",14,14,15,0.933333333
"Tunney, Thomas",15,24,29,0.827586207
"Tunney, Thomas",16,26,28,0.928571429
"Tunney, Thomas",17,15,23,0.652173913
"Tunney, Thomas",18,32,38,0.842105263
"Villegas, Gilbert",14,6,6,1
"Villegas, Gilbert",15,11,13,0.846153846
"Villegas, Gilbert",16,10,13,0.769230769
"Villegas, Gilbert",17,8,12,0.666666667
"Villegas, Gilbert",18,14,19,0.736842105
"Waguespack, Scott",1,5,5,1
"Waguespack, Scott",2,21,21,1
"Waguespack, Scott",3,22,29,0.75862069
"Waguespack, Scott",4,23,27,0.851851852
"Waguespack, Scott",5,14,26,0.538461538
