"(u'Cappleman, James', u'Joint Committee: Education and Child Development; Health and Environmental Protection')","{'start_date': u'2016-08-26T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Austin, Carrie M.', u'Committee on Energy, Environmental Protection and Public Utilities')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2011-05-16T00:00:00'}"
"(u'Burke, Edward M.', u'Committee on Aviation')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Mitts, Emma', u'Joint Committee: Budget and Government Operations; License and Consumer Protection')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Cardenas, George A.', u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-05T00:00:00'}"
"(u'Austin, Carrie M.', u'Joint Committee: Health and Environmental Protection; License and Consumer Protection')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Sawyer, Roderick T.', u'Joint Committee: Workforce Development and Audit; Committees, Rules and Ethics')","{'start_date': u'2015-12-04T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Pope, John', u'Joint Committee: Finance; Public Safety')","{'start_date': u'1999-05-03T00:00:00', 'end_date': u'2015-05-18T00:00:00'}"
"(u'Smith, Charles', u'Council Office of Financial Analysis Oversight Committee')","{'start_date': u'2015-01-01T00:00:00', 'end_date': u'2019-12-31T00:00:00'}"
"(u'Hopkins, Brian ', u'Committee on Health and Environmental Protection')","{'start_date': u'2015-05-20T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Dowell, Pat', u'Joint Committee: License and Consumer Protection; Housing and Real Estate')","{'start_date': u'2016-03-16T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Laurino, Margaret', u'Joint Committee: Finance; Public Safety')","{'start_date': u'1994-08-03T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Reilly, Brendan', u'Joint Committee: Finance; Zoning, Landmarks and Building Standards')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Beale, Anthony', u'Committee on Education')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2011-05-16T00:00:00'}"
"(u'Dowell, Pat', u'Council Office of Financial Analysis Oversight Committee')","{'start_date': u'2014-04-02T00:00:00', 'end_date': u'2019-12-31T00:00:00'}"
"(u'Thompson, Patrick D.', u'Joint Committee: Public Safety; Health and Environmental Protection')","{'start_date': u'2017-01-25T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
