"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Austin, Carrie M.",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Newsome, Shirley",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Thompson, JoAnn",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Burke, Edward M.",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Pope, John",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Mitts, Emma",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Maldonado, Roberto",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Hairston, Leslie A.",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Rugai, Virginia",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Moore, Joseph",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Moreno, Proco Joe",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Fioretti, Bob",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-08T19:00:00+00:00,"Beale, Anthony",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Zalewski, Michael R.",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Austin, Carrie M.",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Newsome, Shirley",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Pope, John",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Burke, Edward M.",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Thompson, JoAnn",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Mitts, Emma",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Maldonado, Roberto",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Hairston, Leslie A.",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Rugai, Virginia",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Moore, Joseph",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Moreno, Proco Joe",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Fioretti, Bob",confirmed
"Committee on Energy, Environmental Protection and Public Utilities (inactive)",2011-02-24T16:30:00+00:00,"Beale, Anthony",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Zalewski, Michael R.",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Cochran, Willie",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Doherty, Brian",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Cardenas, George A.",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Olivo, Frank",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Tunney, Thomas",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Schulter, Eugene",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Shiller, Helen",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Lyle, Freddrenna",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Smith, Mary Ann",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Fioretti, Bob",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Rice, John",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Reboyras, Ariel",confirmed
Committee on License and Consumer Protection,2011-02-28T17:00:00+00:00,"Graham, Deborah L.",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Waguespack, Scott",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Austin, Carrie M.",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Balcer, James",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Pope, John",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Lane, Lona",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Cardenas, George A.",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Dixon, Sharon",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Suarez, Regner Ray",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Mell, Richard F.",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Stone, Bernard",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Shiller, Helen",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Dowell, Pat",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Rice, John",confirmed
Committee on Housing and Real Estate,2011-03-02T16:00:00+00:00,"Reboyras, Ariel",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Cochran, Willie",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Balcer, James",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Doherty, Brian",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Cullerton, Timothy M.",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Suarez, Regner Ray",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Maldonado, Roberto",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Schulter, Eugene",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Rugai, Virginia",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Levar, Patrick",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Moreno, Proco Joe",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Dowell, Pat",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Reboyras, Ariel",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Beale, Anthony",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Reilly, Brendan",confirmed
Committee on Transportation and Public Way,2011-03-04T18:00:00+00:00,"Graham, Deborah L.",confirmed
"Committee on Economic, Capital and Technology Development",2011-03-08T16:00:00+00:00,"Jackson, Sandi",confirmed
"Committee on Economic, Capital and Technology Development",2011-03-08T16:00:00+00:00,"Zalewski, Michael R.",confirmed
"Committee on Economic, Capital and Technology Development",2011-03-08T16:00:00+00:00,"Newsome, Shirley",confirmed
"Committee on Economic, Capital and Technology Development",2011-03-08T16:00:00+00:00,"ColÌ_n, Rey",confirmed
"Committee on Economic, Capital and Technology Development",2011-03-08T16:00:00+00:00,"Cullerton, Timothy M.",confirmed
"Committee on Economic, Capital and Technology Development",2011-03-08T16:00:00+00:00,"Daley, Vi",confirmed
